appid,name,type,is_free,price,currency,discount_percent,release_date,metacritic,recommendations,required_age,dlc_count,developers,publishers,categories,genres,player_count,has_economy,asset_count
1084520,雀姬/姫麻雀,game,True,,,,"Aug 5, 2019",,,0,0,Jack Tech,Smile Tech,"Single-player,Multi-player,PvP,Online PvP","Casual,RPG,Strategy,Free To Play,Early Access",69.0,False,
830470,MazeBot,game,True,,,,"May 3, 2018",,,0,0,Dynamite Whale,Dynamite Whale,"Single-player,Steam Achievements,Full controller support","Action,Casual,Indie",0.0,False,
3680170,Fear To Survive,game,False,,,,Coming soon,,,0,0,Hamuno,Hamuno,"Single-player,Steam Achievements,Family Sharing","Action,Adventure,Casual,Indie,Simulation",,False,
3321940,"The Legend of Heroes: Kai no Kiseki -Farewell, O Zemuria- Waiter & Bunny Costume Set Vol.2",dlc,False,1425.0,USD,0.0,"Jan 22, 2025",,,0,0,Nihon Falcom,Clouded Leopard Entertainment,"Single-player,Downloadable Content,Family Sharing",RPG,0.0,False,
24043,Train Simulator Classic,game,False,2999.0,USD,0.0,"Sep 17, 2015",,18811.0,0,780,Dovetail Games,"Dovetail Games - Trains,Dovetail Games","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Steam Cloud,Steam Leaderboards,Family Sharing",Simulation,0.0,False,
3428960,Desktop Dynasties 3,game,False,,,,To be announced,,,0,0,Head Coach Games,Head Coach Games,"Single-player,Family Sharing",Sports,,False,
1235460,Angry Bunny 2: Lost hole,game,False,49.0,USD,51.0,"Mar 13, 2020",,,0,0,VS Resolution,My Way Games,"Single-player,Steam Achievements,Family Sharing","Adventure,Casual,Indie",0.0,False,
3022210,Agents of Argus Demo,demo,True,,,,"Jun 5, 2024",,,0,0,NAKAMOTO GAMES LLC,NAKAMOTO GAMES LLC,"Single-player,Game demo",,0.0,False,
3014670,Ramshackle.EXE Demo,demo,True,,,,"Jun 1, 2024",,,0,0,Arkwright.EXE,Arkwright.EXE,"Single-player,Game demo,Full controller support",,0.0,False,
2453320,Dobuki's Epic Journey,game,False,199.0,USD,0.0,"Jun 16, 2023",,,0,0,"Jack Le Hamster,Vincent Le Quang",Dobuki Studio,"Single-player,Family Sharing","Adventure,Indie,RPG",0.0,False,
2491460,Mole Royal,game,False,199.0,USD,0.0,"Mar 29, 2024",,,0,0,Hungry Cats Games,Hungry Cats Games,"Single-player,Multi-player,PvP,Online PvP,LAN PvP,Steam Achievements,Family Sharing","Action,Casual,Indie",0.0,False,
790960,Beer Ranger,game,False,199.0,USD,0.0,"Feb 19, 2018",,,0,0,Mirthood Games,Mirthood Games,"Single-player,Steam Achievements,Partial Controller Support,Includes level editor,Family Sharing","Action,Adventure,Indie",0.0,False,
2730580,MagicGirls★Shooting!!,game,False,99.0,USD,0.0,"Jan 5, 2024",,,0,0,CherryPink,CherryPink,"Single-player,Steam Achievements,Family Sharing","Action,Indie",0.0,False,
2540000,Super Spooky Subgame Spectacular,game,False,1199.0,USD,0.0,"Sep 5, 2023",,,0,0,Tiny Little Lion,Boomzap Inc,"Single-player,Steam Achievements,Steam Cloud,Family Sharing",Casual,0.0,False,
