appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,ccu,owners_min,owners_max,owners_median,release_date,genres,is_free,metacritic_score,dlc_count
1172470,Apex Legends,Respawn,Electronic Arts,,668053,326926,0,"100,000,000 .. 200,000,000",11025,635,977,256,0,0,0,124262,100000000,200000000,150000000.0,"4 Nov, 2020","Action, Adventure, Free To Play",True,88,0
578080,PUBG: BATTLEGROUNDS,PUBG Corporation,"KRAFTON, Inc.",,1520457,1037487,0,"100,000,000 .. 200,000,000",23333,820,5899,335,0,0,0,314682,100000000,200000000,150000000.0,"21 Dec, 2017","Action, Adventure, Massively Multiplayer, Free To Play",True,,0
440,Team Fortress 2,Valve,Valve,,1044264,117208,0,"50,000,000 .. 100,000,000",21058,772,4175,161,0,0,0,43819,50000000,100000000,75000000.0,"10 Oct, 2007","Action, Free To Play",True,92,1
304930,Unturned,Smartly Dressed Games,Smartly Dressed Games,,506516,48852,0,"50,000,000 .. 100,000,000",9607,1688,342,583,0,0,0,10408,50000000,100000000,75000000.0,"7 Jul, 2017","Action, Adventure, Casual, Indie, Free To Play",True,,1
1599340,Lost Ark,Smilegate RPG,Amazon Games,,143481,58540,0,"50,000,000 .. 100,000,000",5408,1261,752,457,0,0,0,17355,50000000,100000000,75000000.0,"11 Feb, 2022","Action, Adventure, Massively Multiplayer, RPG, Free To Play",True,,7
236390,War Thunder,Gaijin Entertainment,Gaijin Network Ltd,,484469,272617,0,"20,000,000 .. 50,000,000",9206,658,458,165,0,0,0,50478,20000000,50000000,35000000.0,"15 Aug, 2013","Action, Massively Multiplayer, Simulation, Free To Play",True,81,36
230410,Warframe,Digital Extremes,Digital Extremes,,545393,81110,0,"20,000,000 .. 50,000,000",12386,1037,538,226,0,0,0,36195,20000000,50000000,35000000.0,"25 Mar, 2013","Action, RPG, Free To Play",True,69,14
2694490,Path of Exile 2,Grinding Gear Games,Grinding Gear Games,,118511,50510,0,"20,000,000 .. 50,000,000",7673,1091,3324,304,2999,2999,0,16727,20000000,50000000,35000000.0,"6 Dec, 2024","Action, Adventure, Massively Multiplayer, RPG, Early Access",False,,9
431960,Wallpaper Engine,Wallpaper Engine Team,Wallpaper Engine Team,,876898,17560,0,"20,000,000 .. 50,000,000",4626,131,976,9,499,499,0,91184,20000000,50000000,35000000.0,"16 Nov, 2018","Casual, Indie, Animation & Modeling, Design & Illustration, Photo Editing, Utilities",False,,1
291550,Brawlhalla,Blue Mammoth Games,Ubisoft,,314809,71647,0,"20,000,000 .. 50,000,000",3201,252,229,86,0,0,0,14169,20000000,50000000,35000000.0,"17 Oct, 2017","Action, Indie, Free To Play",True,,3
